               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.037491,            0.010341,           0.0042901,             0.92593,             0.92338,             0.94417,             0.44852,            0.037108,            0.005758,           0.0041626,            0.007459,            0.007459,            0.007459
                  79,             0.03795,           0.0097583,           0.0045299,              0.9032,             0.92363,             0.90073,             0.43439,            0.034241,           0.0056709,            0.003259,            0.007426,            0.007426,            0.007426
                  80,            0.036856,           0.0094757,           0.0039633,              0.9033,             0.91162,             0.91342,             0.42951,            0.035822,           0.0058041,           0.0032274,            0.007393,            0.007393,            0.007393
                  81,            0.037551,           0.0099484,           0.0047235,              0.9084,             0.89333,             0.89246,             0.48962,            0.034855,           0.0059083,           0.0032772,             0.00736,             0.00736,             0.00736
                  82,            0.035123,            0.009735,           0.0043816,             0.93347,             0.92129,             0.93437,             0.50678,            0.034223,           0.0056979,           0.0038092,            0.007327,            0.007327,            0.007327
                  83,            0.036574,           0.0096729,           0.0043248,             0.90015,              0.9461,             0.92754,             0.48395,            0.036166,           0.0057789,           0.0038945,            0.007294,            0.007294,            0.007294
                  84,            0.036006,            0.010054,           0.0041176,             0.92204,             0.90934,             0.92116,             0.47058,            0.034289,            0.005737,           0.0031459,            0.007261,            0.007261,            0.007261
                  85,            0.035585,           0.0091586,            0.004162,             0.91512,             0.92822,               0.928,             0.48808,            0.034063,           0.0058756,           0.0039563,            0.007228,            0.007228,            0.007228
                  86,            0.035027,           0.0094795,           0.0039177,             0.93688,             0.93567,             0.93574,             0.53271,            0.033227,           0.0055243,           0.0027945,            0.007195,            0.007195,            0.007195
                  87,            0.035643,           0.0091081,           0.0035574,             0.93382,             0.92765,             0.93427,             0.51023,            0.035018,           0.0058578,           0.0025213,            0.007162,            0.007162,            0.007162
                  88,            0.035093,           0.0090819,           0.0040927,             0.93227,             0.91962,             0.93362,             0.47752,            0.035907,           0.0058991,            0.002063,            0.007129,            0.007129,            0.007129
                  89,            0.035748,           0.0095154,           0.0033982,             0.94284,             0.88679,             0.93079,             0.52337,            0.032984,           0.0058378,           0.0021048,            0.007096,            0.007096,            0.007096
                  90,             0.03613,           0.0094938,           0.0040811,             0.93428,             0.90267,             0.94107,             0.48499,            0.036795,           0.0058893,           0.0034504,            0.007063,            0.007063,            0.007063
                  91,            0.035287,           0.0095675,           0.0035489,             0.90458,             0.94109,             0.95518,             0.47284,            0.034844,           0.0057863,           0.0022506,             0.00703,             0.00703,             0.00703
                  92,              0.0354,           0.0094668,           0.0039038,             0.91881,             0.93127,             0.93211,             0.49925,            0.033042,           0.0055863,           0.0023582,            0.006997,            0.006997,            0.006997
                  93,            0.034768,           0.0088349,           0.0040542,              0.9407,              0.9554,              0.9348,              0.4917,             0.03556,           0.0058788,           0.0021978,            0.006964,            0.006964,            0.006964
                  94,            0.035169,           0.0092315,            0.003901,             0.91339,             0.93575,             0.92593,             0.49691,            0.034349,           0.0058228,           0.0022681,            0.006931,            0.006931,            0.006931
                  95,            0.035964,           0.0094917,           0.0037579,             0.94283,              0.9322,             0.93345,             0.48484,            0.037756,           0.0058362,           0.0026009,            0.006898,            0.006898,            0.006898
                  96,            0.034149,           0.0093559,           0.0038616,             0.92343,             0.93141,             0.92608,             0.45971,            0.035679,           0.0058228,           0.0023291,            0.006865,            0.006865,            0.006865
                  97,            0.033675,           0.0090122,           0.0039189,             0.92623,             0.91761,             0.92528,             0.41453,            0.037165,           0.0059595,           0.0019432,            0.006832,            0.006832,            0.006832
                  98,             0.03494,           0.0089615,           0.0037215,             0.94389,             0.92225,             0.93453,             0.45188,            0.035328,           0.0058629,           0.0033182,            0.006799,            0.006799,            0.006799
                  99,            0.035005,           0.0085944,            0.003735,             0.92848,             0.92772,             0.93493,             0.47729,            0.038402,           0.0056295,           0.0029839,            0.006766,            0.006766,            0.006766
                 100,            0.034635,            0.009732,           0.0040787,             0.92202,             0.95006,             0.93669,              0.4825,              0.0353,           0.0057837,           0.0029681,            0.006733,            0.006733,            0.006733
                 101,            0.033805,           0.0087563,           0.0038267,             0.92735,             0.95584,              0.9331,             0.49754,            0.036725,           0.0056314,           0.0024718,              0.0067,              0.0067,              0.0067
                 102,            0.035096,           0.0090788,           0.0044147,             0.93949,             0.92388,             0.93164,             0.53719,            0.033069,             0.00564,           0.0028472,            0.006667,            0.006667,            0.006667
                 103,             0.03407,           0.0094505,           0.0035608,             0.92183,             0.93203,             0.93321,             0.53874,            0.032968,           0.0055532,           0.0028866,            0.006634,            0.006634,            0.006634
                 104,             0.03297,           0.0090865,           0.0037796,             0.93701,             0.92931,             0.94732,             0.52041,            0.033354,           0.0058756,           0.0025448,            0.006601,            0.006601,            0.006601
                 105,            0.032451,           0.0084751,           0.0027221,             0.93816,             0.95378,             0.93781,             0.49999,             0.03364,           0.0056731,           0.0026591,            0.006568,            0.006568,            0.006568
                 106,            0.034557,           0.0086872,           0.0034085,             0.92922,             0.95469,             0.93226,             0.49696,            0.033776,           0.0056038,           0.0028803,            0.006535,            0.006535,            0.006535
                 107,            0.033823,           0.0092627,           0.0037336,             0.90319,             0.92709,             0.93239,             0.47708,            0.037311,           0.0057745,           0.0027344,            0.006502,            0.006502,            0.006502
                 108,            0.032868,           0.0091317,           0.0036415,             0.91766,             0.95903,             0.93619,             0.51716,            0.033773,           0.0055742,           0.0025771,            0.006469,            0.006469,            0.006469
                 109,            0.033338,           0.0092181,           0.0036023,             0.93481,             0.95544,              0.9483,             0.49184,            0.035388,           0.0055691,           0.0030096,            0.006436,            0.006436,            0.006436
                 110,            0.031675,           0.0086512,           0.0032449,             0.93221,             0.93958,             0.94545,             0.49701,             0.03178,           0.0058517,           0.0025047,            0.006403,            0.006403,            0.006403
                 111,            0.031785,           0.0090331,           0.0032333,             0.92711,               0.927,             0.93358,             0.46434,            0.033564,           0.0058928,           0.0026305,             0.00637,             0.00637,             0.00637
                 112,            0.033021,           0.0092718,           0.0044145,              0.9301,             0.95237,             0.94466,             0.50827,            0.034897,           0.0056629,           0.0022518,            0.006337,            0.006337,            0.006337
                 113,            0.032676,           0.0085262,           0.0033577,             0.94545,              0.9532,             0.93951,             0.50024,             0.03175,           0.0056292,           0.0022945,            0.006304,            0.006304,            0.006304
                 114,             0.03283,           0.0090906,           0.0032875,             0.93582,             0.94557,              0.9483,             0.51475,            0.033473,           0.0057958,           0.0029029,            0.006271,            0.006271,            0.006271
                 115,            0.032652,             0.00927,           0.0038493,             0.92589,             0.93213,             0.95931,             0.52165,            0.033532,           0.0059713,           0.0031944,            0.006238,            0.006238,            0.006238
                 116,            0.032579,           0.0087672,           0.0027923,              0.9331,             0.94175,             0.94193,             0.52928,             0.03557,            0.005812,           0.0026102,            0.006205,            0.006205,            0.006205
                 117,            0.031488,           0.0088533,           0.0033709,              0.9281,             0.95809,             0.94511,             0.53375,            0.034489,           0.0056702,           0.0026626,            0.006172,            0.006172,            0.006172
                 118,            0.031724,           0.0091048,           0.0025633,             0.92099,             0.95115,             0.94696,             0.52509,            0.032804,           0.0056375,           0.0028809,            0.006139,            0.006139,            0.006139
                 119,            0.031145,           0.0089582,           0.0038821,             0.92103,             0.94641,             0.93598,             0.50864,             0.03306,            0.005772,           0.0028376,            0.006106,            0.006106,            0.006106
                 120,            0.031442,           0.0086374,           0.0030892,             0.94012,              0.9417,             0.93704,             0.50572,            0.034522,             0.00564,           0.0026326,            0.006073,            0.006073,            0.006073
